,Season,Week,Team,TeamPoints,OpponentPoints,YardsFor,YardsAgainst,Opponent,MatchString
0,2018,1,PHI,18.0,12.0,232.0,299.0,ATL,20181PHIATL
1,2018,1,ATL,12.0,18.0,299.0,232.0,PHI,20181ATLPHI
2,2018,1,NO,40.0,48.0,475.0,529.0,TB,20181NOTB
3,2018,1,TB,48.0,40.0,529.0,475.0,NO,20181TBNO
4,2018,1,BAL,47.0,3.0,369.0,153.0,BUF,20181BALBUF
5,2018,1,BUF,3.0,47.0,153.0,369.0,BAL,20181BUFBAL
6,2018,1,IND,23.0,34.0,380.0,330.0,CIN,20181INDCIN
7,2018,1,CIN,34.0,23.0,330.0,380.0,IND,20181CININD
8,2018,1,CLE,21.0,21.0,327.0,472.0,PIT,20181CLEPIT
9,2018,1,PIT,21.0,21.0,472.0,327.0,CLE,20181PITCLE
10,2018,1,MIA,27.0,20.0,342.0,336.0,TEN,20181MIATEN
11,2018,1,TEN,20.0,27.0,336.0,342.0,MIA,20181TENMIA
12,2018,1,NE,27.0,20.0,389.0,325.0,HOU,20181NEHOU
13,2018,1,HOU,20.0,27.0,325.0,389.0,NE,20181HOUNE
14,2018,1,NYG,15.0,20.0,324.0,305.0,JAX,20181NYGJAX
15,2018,1,JAX,20.0,15.0,305.0,324.0,NYG,20181JAXNYG
16,2018,1,MIN,24.0,16.0,343.0,327.0,SF,20181MINSF
17,2018,1,SF,16.0,24.0,327.0,343.0,MIN,20181SFMIN
18,2018,1,LAC,28.0,38.0,541.0,362.0,KC,20181LACKC
19,2018,1,KC,38.0,28.0,362.0,541.0,LAC,20181KCLAC
20,2018,1,ARI,6.0,24.0,213.0,429.0,WAS,20181ARIWAS
21,2018,1,WAS,24.0,6.0,429.0,213.0,ARI,20181WASARI
22,2018,1,CAR,16.0,8.0,293.0,232.0,DAL,20181CARDAL
23,2018,1,DAL,8.0,16.0,232.0,293.0,CAR,20181DALCAR
24,2018,1,DEN,27.0,24.0,470.0,306.0,SEA,20181DENSEA
